YEAR,QUARTER,MONTH,ITEM_SECTION_CODE,SECTION_DESC,WEIGHT_IMPORT,VALUE_IMPORT,WEIGHT_EXPORT,VALUE_EXPORT,WEIGHT_REXPORT,VALUE_REXPORT
2011,3,9,02,VEGETABLE PRODUCTS,826907779.4,2295098668,10310177.13,40598415.56,102104933.3,406687613.2
2011,3,9,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",50223843.32,256457941.7,12055870.22,62742459.75,1240752.13,7664139.91
2011,3,9,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",284395102.3,1681729089,188891060.2,921084114.2,49718624.94,654610759.6
2011,3,9,05,MINERAL PRODUCTS,1305747718,3173539752,1248693455,717618290.5,431463557.3,1427396272
2011,3,9,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,575845497.1,4062290586,47463139.45,326873456.8,45259359.28,1202622267
2011,3,9,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",215448634.6,2126623458,91033207.52,597566235.9,60484988.35,723432360.9
2011,3,9,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,10539797.52,315057093.4,244001.21,811618.9,2609166.69,62395598.92
2011,3,9,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",146187585.7,359383024.1,314411.27,3115483.12,19361013.79,62017456.63
2011,3,9,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",109735479.3,630667299.7,42086542.67,170562586.7,7586109.95,60702742.53
2011,3,9,11,TEXTILES AND TEXTILE ARTICLES,132564343.1,2553953945,15660888.49,123499133.8,72118455.03,1038713030
2011,3,9,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",16334598.55,410837501.6,176243.49,1648401.16,6360757.72,119911224.4
2011,3,9,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",257164335.6,782580011.3,145324158.9,205482570.8,35251915.65,262274629.6
2011,3,9,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",745178.4,18509303131,101789.89,5237258887,344875.17,8940790307
2011,3,9,15,BASE METALS AND ARTICLES OF BASE METAL,917994164.1,6121152202,241032802.8,1080921118,113078286.7,1047017298
2011,3,9,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",307667543.8,18622028227,11202670.4,264640975.2,136304719.3,10071266769
2011,3,9,17,VEHICLES OF TRANSPORT,161343844.6,6621477982,15531766.91,108919254.4,98979798.21,2560105999
